subject,elec,matfile,area,area2
661,EEGG_14REF,14,,
661,EEGG_16REF,16,,
661,EEGG_20REF,20,,
661,EEGG_21REF,21,,
661,EEGG_22REF,22,,
661,EEGG_23REF,23,,
661,EEGG_26REF,26,,
661,EEGG_27REF,27,,
661,EEGG_28REF,28,,
661,EEGG_41REF,41,,
661,EEGG_49REF,49,,
661,EEGG_55REF,55,,
661,EEGG_62REF,62,,
661,EEGPT_01REF,73,,
661,EEGMT_04REF,72,,
717,LGA10,10,IFG,
717,LGA18,18,IFG,
717,LGA27,27,IFG,
717,LGA32,32,parietal,
717,LGA36,36,STG,rSTG
717,LGA37,37,STG,rSTG
717,LGA38,38,STG,mSTG
717,LGA39,39,STG,cSTG
717,LGA4,4,IFG,
717,LGA44,44,aMTG,rSTG
717,LGA46,46,STG,mSTG
717,LGA47,47,STG,mSTG
717,LGA9,9,IFG,
717,LGB108,108,IFG,
717,LGB112,112,STG,rSTG
717,LGB113,113,STG,mSTG
717,LGB114,114,STG,mSTG
717,LGB116,116,STG,rSTG
717,LGB117,117,STG,rSTG
717,LGB119,119,STG,mSTG
717,LGB120,120,STG,mSTG
717,LGB121,121,STG,mSTG
717,LGB122,122,STG,cSTG
717,LGB126,126,STG,mSTG
717,LGB66,66,IFG,
717,LGB71,71,IFG,
717,LGB74,74,IFG,
717,LGB75,75,IFG,
717,LGB78,78,IFG,
717,LGB79,79,IFG,
717,LGB80,80,IFG,
717,LGB82,82,IFG,
717,LGB85,85,precentral,
717,LGB86,86,IFG,
717,LGB87,87,IFG,
717,LGB88,88,IFG,
717,LGB95,95,IFG,
717,LOF4,158,other,
717,RO7,179,other,
717,RPT1,173,other,
717,RPT2,174,other,
717,RPT3,175,other,
717,RPT4,176,other,
723,LSF12,12,other,
723,LST10,34,AG,
723,LPT2,36,pmtg,
723,LPT1,35,pmtg,
723,LIF3,15,IFG,
723,LST1,25,IFG,
723,LST2,26,precentral,
723,RIF4,56,,
723,RIF12,64,,
723,RST4,68,,
723,RST5,69,,
723,LDII7,101,,
723,LDII8,102,,
723,LDII9,103,,
723,LDSI9,115,,
723,LDSI10,116,,
723,RDS11,155,,
723,LST7,31,AG,
723,LST8,32,AG,
741,GA48,47,parietal,cSTG
741,GA64,63,STG,cSTG
741,GA44,43,STG,rSTG
741,GA45,44,STG,mSTG
741,GA47,46,parietal,
741,GA14,14,premotor,
741,GA23,23,precentral,
741,GA41,40,TP,
742,dMF5,165,,
742,dPI5,159,,
742,G101,101,STG,mSTG
742,G102,102,STG,mSTG
742,G103,103,STG,mSTG
742,G104,104,STG,mSTG
742,G108,108,precentral,
742,G110,110,STG,mSTG
742,G111,111,STG,mSTG
742,G113,113,STG,rSTG
742,G117,117,IFG,
742,G118,118,IFG,
742,G119,119,STG,rSTG
742,G120,120,STG,rSTG
742,G121,121,STG,rSTG
742,G124,124,IFG,
742,G125,125,STG,rSTG
742,G128,128,IFG,
742,G15,15,STG,cSTG
742,G22,22,STG,mSTG
742,G23,23,STG,cSTG
742,G24,24,aMTG,
742,G30,30,STG,mSTG
742,G31,31,STG,mSTG
742,G34,34,IFG,
742,G35,35,IFG,
742,G37,37,STG,rSTG
742,G42,42,IFG,
742,G43,43,IFG,
742,G44,44,IFG,
742,G45,45,IFG,
742,G53,53,IFG,
742,G54,54,TP,
742,G55,55,TP,
742,G56,56,TP,
742,G61,61,other,
742,G63,63,TP,
742,G64,64,TP,
742,G7,7,STG,cSTG
742,G75,75,precentral,
743,G3,3,MFG,
743,G11,11,IFG,
743,G64,64,pmtg,
743,G46,46,parietal,cSTG
743,G47,47,STG,cSTG
743,G44,44,STG,mSTG
743,G45,45,STG,mSTG
743,G52,52,STG,mSTG
743,G53,53,STG,mSTG
743,G54,54,STG,cSTG
743,G19,19,IFG,
743,G10,10,IFG,
763,G25,25,AG,
763,G33,33,AG,
763,AT1,49,other,
763,DPMT7,67,,
763,G15,15,pmtg,
763,G31,31,parietal,
763,G32,32,postcg,
763,G20,20,AG,
763,G21,21,STG,cSTG
763,G23,23,STG,cSTG
763,G24,24,STG,mSTG
763,G34,34,AG,
763,DAI3,71,,
763,DAI4,72,,
763,DPI3,75,,
763,DPMT8,68,,
798,AF6,164,MFG,
798,AIT3,131,TP,
798,DPI2,190,,
798,DPI3,191,,
798,G10,10,MFG,
798,G12,12,IFG,
798,G15,15,premotor,
798,G16,16,precentral,
798,G17,17,IFG,
798,G18,18,IFG,
798,G19,19,IFG,
798,G20,20,IFG,
798,G26,26,IFG,
798,G27,27,IFG,
798,G5,5,MFG,
798,G56,56,STG,cSTG
798,G77,77,IFG,
798,G79,79,IFG,
798,G83,83,IFG,
798,G84,84,IFG,
798,G86,86,IFG,
798,G87,87,IFG,
798,G88,88,IFG,
798,G92,92,IFG,
798,G93,93,IFG,
798,G94,94,IFG,
798,G95,95,IFG,
798,G96,96,IFG,
798,O4,140,AG,
798,O6,142,AG,
798,SF2,154,other,
